
============================================================
📁 ARQUIVO: BLACKBR_-_OURO_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[19-01-2026_00h45].m3u
📅 DATA: 19/01/2026 00:45
------------------------------------------------------------
ℹ️ BASE DE DADOS INICIADA: 271873 itens.

============================================================
📁 ARQUIVO: BLACKBR_-_OURO_-__TESTE_IPTV_COMPLETO_S_ADULTOS_[19-01-2026_18h27].m3u
📅 DATA: 19/01/2026 18:27
------------------------------------------------------------
🟢 ENTRARAM (1514):
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S01E04  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S01E05  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S01E06  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S01E08  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S01E10  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S01E11  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S01E12  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S01E13  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S01E14  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S01E15  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S02E01  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S02E02  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S02E03  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S02E04  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S02E05  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S02E06  | (1ª vez: 19/01/2026 18:27)
   + [AMAZON PRIME VIDEO] As Aventuras do Gato de Botas (2015) S02E07  | (1ª vez: 19/01/2026 18:27)
